date,rank,name,price,today_purchased,value,now_viewing_customers_count,link
2019/8/23,1,TP-Link Archer C6,999,30,213,87,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/23,2,TP-LINK TL-WR841N,499,18,126,34,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/23,3,TP-LINK Archer C50 AC1200 Dual Band,799,10,74,26,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/23,4,ASUS RT-AC66U B1,2399,0,25,14,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/23,5,ASUS RT-AC58U,1999,0,29,21,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/23,6,TP-LINK TL-WR940N,499,0,42,40,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/23,7,TP-LINK Archer C7 AC1750 Dual Band,1990,0,25,22,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/23,8,ASUS RT-AC68U,3999,0,12,17,https://www.alza.cz/EN/asus-rt-ac68u-d485905.htm
2019/8/23,9,ASUS RT-AC57U,1199,0,31,26,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/23,10,TP-LINK M7200,1499,0,18,24,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/8/24,1,TP-Link Archer C6,999,30,213,237,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/24,2,TP-LINK TL-WR841N,499,18,126,127,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/24,3,TP-LINK Archer C50 AC1200 Dual Band,799,10,74,71,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/24,4,ASUS RT-AC66U B1,2399,0,25,40,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/24,5,ASUS RT-AC58U,1999,0,29,68,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/24,6,TP-LINK TL-WR940N,499,0,42,96,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/24,7,TP-LINK Archer C7 AC1750 Dual Band,1990,0,25,64,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/24,8,ASUS RT-AC68U,3999,0,12,36,https://www.alza.cz/EN/asus-rt-ac68u-d485905.htm
2019/8/24,9,ASUS RT-AC57U,1199,0,31,63,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/24,10,TP-LINK M7200,1499,0,18,50,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/8/25,1,TP-Link Archer C6,999,29,207,371,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/25,2,TP-LINK TL-WR841N,499,17,125,241,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/25,3,TP-LINK Archer C50 AC1200 Dual Band,799,10,72,122,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/25,4,ASUS RT-AC66U B1,2399,0,26,63,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/25,5,ASUS RT-AC58U,1999,0,29,85,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/25,6,TP-LINK Archer C7 AC1750 Dual Band,1990,0,26,84,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/25,7,TP-LINK TL-WR940N,499,0,45,133,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/25,8,ASUS RT-AC57U,1199,0,32,90,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/25,9,ASUS RT-AC68U,3999,0,11,37,https://www.alza.cz/EN/asus-rt-ac68u-d485905.htm
2019/8/25,10,"Tenda F3 (N300, F303)",369,0,25,38,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/8/26,1,TP-Link Archer C6,999,30,213,446,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/26,2,TP-LINK TL-WR841N,499,18,126,254,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/26,3,TP-LINK Archer C50 AC1200 Dual Band,799,10,74,147,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/26,4,ASUS RT-AC58U,1999,0,30,111,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/26,5,ASUS RT-AC66U B1,2399,0,23,66,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/26,6,TP-LINK TL-WR940N,499,0,49,119,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/26,7,ASUS RT-AC57U,1199,0,37,103,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/26,8,TP-LINK Archer C7 AC1750 Dual Band,1990,0,24,105,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/26,9,ASUS RT-AC68U,3999,0,11,54,https://www.alza.cz/EN/asus-rt-ac68u-d485905.htm
2019/8/26,10,"Tenda F3 (N300, F303)",369,0,26,36,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/8/27,1,TP-Link Archer C6,999,30,212,407,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/27,2,TP-LINK TL-WR841N,499,17,120,225,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/27,3,TP-LINK Archer C50 AC1200 Dual Band,799,10,70,111,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/27,4,TP-LINK TL-WR940N,499,0,54,127,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/27,5,ASUS RT-AC66U B1,2399,0,23,58,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/27,6,ASUS RT-AC57U,1199,0,40,110,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/27,7,ASUS RT-AC58U,1999,0,27,96,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/27,8,TP-LINK Archer C7 AC1750 Dual Band,1990,0,24,112,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/27,9,"Tenda F3 (N300, F303)",369,0,29,38,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/8/27,10,ASUS RT-AC68U,3999,0,10,52,https://www.alza.cz/EN/asus-rt-ac68u-d485905.htm
2019/8/28,1,TP-Link Archer C6,999,29,209,379,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/28,2,TP-LINK TL-WR841N,499,16,116,201,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/28,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,67,115,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/28,4,ASUS RT-AC57U,1199,0,46,113,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/28,5,TP-LINK TL-WR940N,499,0,55,117,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/28,6,TP-LINK Archer C7 AC1750 Dual Band,1990,0,26,121,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/28,7,ASUS RT-AC66U B1,2399,0,21,46,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/28,8,ASUS RT-AC58U,1999,0,25,73,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
